,abstract,doi,first_seen,journal,n_tweets,pmid,published,title
120,"Quantitative structure-activity relationship modeling is one of the major computational tools employed in medicinal chemistry. However, throughout its entire history it has drawn both praise and criticism concerning its reliability, limitations, successes, and failures. In this paper, we discuss (i) the development and evolution of QSAR; (ii) the current trends, unsolved problems, and pressing challenges; and (iii) several novel and emerging applications of QSAR modeling. Throughout this discussion, we provide guidelines for QSAR development, validation, and application, which are summarized in best practices for building rigorously validated and externally predictive QSAR models. We hope that this Perspective will help communications between computational and experimental chemists toward collaborative development and use of QSAR models. We also believe that the guidelines presented here will help journal editors and reviewers apply more stringent scientific standards to manuscripts reporting new QSAR studies, as well as encourage the use of high quality, validated QSARs for regulatory decision making.",10.1021/jm4004285,2014-01-07T17:22:12+00:00,Journal of Medicinal Chemistry,6,24351051,2013-12-18T00:00:00+00:00,QSAR Modeling: Where Have You Been? Where Are You Going To?
121,"Infants and young children spend as much as 50h per week in child care and preschool. Although approximately 13 million children, or 65% of all U.S. children, spend some time each day in early childhood education (ECE) facilities, little information is available about environmental exposures in these environments. We measured flame retardants in air and dust collected from 40 California ECE facilities between May 2010 and May 2011. Low levels of six polybrominated diphenyl ether (PBDE) congeners and four non-PBDE flame retardants were present in air, including two constituents of Firemaster 550 and two tris phosphate compounds [tris (2-chloroethyl) phosphate (TCEP) and tris (1,3-dichloroisopropyl) phosphate (TDCIPP)]. Tris phosphate, Firemaster 550 and PBDE compounds were detected in 100% of the dust samples. BDE47, BDE99, and BDE209 comprised the majority of the PBDE mass measured in dust. The median concentrations of TCEP (319 ng g(-1)) and TDCIPP (2265 ng g(-1)) were similar to or higher than any PBDE congener. Levels of TCEP and TDCIPP in dust were significantly higher in facilities with napping equipment made out of foam (Mann-Whitney p-values<0.05). Child BDE99 dose estimates exceeded the RfD in one facility for children<3 years old. In 51% of facilities, TDCIPP dose estimates for children<6 years old exceeded age-specific ""No Significant Risk Levels (NSRLs)"" based on California Proposition 65 guidelines for carcinogens. Given the overriding interest in providing safe and healthy environments for young children, additional research is needed to identify strategies to reduce indoor sources of flame retardant chemicals.",10.1016/j.chemosphere.2014.02.072,2014-05-15T18:51:54+00:00,Chemosphere,6,24835158,,Flame retardant exposures in California early childhood education environments
122,"Perfluorinated chemicals (PFCs) are of concern due to their widespread use, persistence in the environment, tendency to accumulate in animal tissues, and growing evidence of toxicity. Between 2006 and 2011 we collected blood plasma from 261 bald eagle nestlings in six study areas from the upper Midwestern United States. Samples were assessed for levels of 16 different PFCs. We used regression analysis in a Bayesian framework to evaluate spatial and temporal trends for these analytes. We found levels as high as 7370 ng/mL for the sum of all 16 PFCs (∑PFCs). Perfluorooctanesulfonate (PFOS) and perfluorodecanesulfonate (PFDS) were the most abundant analytes, making up 67% and 23% of the PFC burden, respectively. Levels of ∑PFC, PFOS, and PFDS were highest in more urban and industrial areas, moderate on Lake Superior, and low on the remote upper St. Croix River watershed. We found evidence of declines in ∑PFCs and seven analytes, including PFOS, PFDS, and perfluorooctanoic acid (PFOA); no trend in two analytes; and increases in two analytes. We argue that PFDS, a long-chained PFC with potential for high bioaccumulation and toxicity, should be considered for future animal and human studies.",10.1021/es501055d,2014-06-10T06:09:55+00:00,Environmental Science & Technology,3,24898913,2014-06-07T00:00:00+00:00,Spatial and Temporal Patterns in Concentrations of Perfluorinated Compounds in Bald Eagle Nestlings in the Upper Midwestern United States.
123,,10.1016/j.yrtph.2013.03.012,,,0,,,
124,"Biotransformation rates measured using cryopreserved trout hepatocytes can be extrapolated to the whole animal to predict metabolism impacts on chemical bioaccumulation. Future use of these methods within a regulatory context requires, however, that they be optimized and standardized. Specifically, questions exist concerning gender differences in metabolism, cryopreservability of cells, and the accuracy of in vitro-in vivo scaling factors. 2. In this study, we evaluated hepatocytes from juvenile male and female trout. No gender differences in cell size, protein abundance, cytochrome P450 content, ethoxyresorufin-O-deethylase activity, uridine diphosphate glucuronosyltransferase activity or intrinsic clearance of pyrene were observed for freshly isolated hepatocytes. There was a small difference in measured glutathione-S-transferase activity (<25%; males > females). 3. Cells were cryopreserved by two methods: direct placement into liquid N2 vapor and controlled, slow-rate freezing. Comparable live recovery and enzymatic activity were observed regardless of freezing method or gender. Cells cryopreserved in liquid N2 vapor exhibited activity levels similar to those of freshly isolated cells, although there were small but significant differences in pyrene clearance and glutathione-S-transferase activity (frozen < fresh). Hepatocellularity values did not differ by sex. 4. These results suggest that hepatocytes from male and female juvenile trout may be used interchangeably for in vitro-in vivo metabolism extrapolations.",10.3109/00498254.2013.845704,2013-10-19T03:23:40+00:00,Xenobiotica,1,24138324,2013-10-18T00:00:00+00:00,Optimizing the use of rainbow trout hepatocytes for bioaccumulation assessments with fish.
125,"Pharmaceuticals and personal care products (PPCPs) are emerging contaminants that have been found ubiquitously in wastewater and surface waters around the world. A major source of these compounds is incomplete metabolism in humans and subsequent excretion in human waste, resulting in discharge into surface waters by wastewater treatment plant (WWTP) effluent. One pharmaceutical found in particularly high abundance in recent WWTP effluent and surface water studies is metformin, one of the world's most widely prescribed antidiabetic drugs. Interactions between insulin signaling and steroidogenesis suggest potential endocrine-disrupting effects of metformin found in the aquatic environment. Adult fathead minnows (Pimephales promelas) were chronically exposed to metformin for 4 wk, at 40 µg/L, a level similar to the average found in WWTP effluent in Milwaukee, Wisconsin, USA. Genetic endpoints related to metabolism and endocrine function as well as reproduction-related endpoints were examined. Metformin treatment induced significant up-regulation of messenger ribonucleic acid (mRNA) encoding the egg-protein vitellogenin in male fish, an indication of endocrine disruption. The present study, the first to study the effects of environmentally relevant metformin exposure in fathead minnows, demonstrates the need for further study of the endocrine-disrupting effects of metformin in aquatic organisms. Environ Toxicol Chem 2014;9999:1-6. © 2014 The Authors. Published by Wiley Periodicals, Inc. on behalf of SETAC.",10.1002/etc.2793,2014-10-31T11:06:52+00:00,Environmental Toxicology & Chemistry,8,25358780,,Metformin exposure at environmentally relevant concentrations causes potential endocrine disruption in adult male fish
126,"Current strategies for predicting adverse health outcomes of environmental chemicals are centered on early key events in toxicity pathways. However, quantitative relationships between early molecular changes in a given pathway and later health effects are often poorly defined. The goal of this study was to evaluate short-term key event indicators using qualitative and quantitative methods in an established pathway of mouse liver tumorigenesis mediated by peroxisome proliferator-activated receptor-alpha (PPARα). Male B6C3F1 mice were exposed for 7 days to di (2-ethylhexyl) phthalate (DEHP), di-n-octyl phthalate (DNOP), and n-butyl benzyl phthalate (BBP), which vary in PPARα activity and liver tumorigenicity. Each phthalate increased expression of select PPARα target genes at 7 days, while only DEHP significantly increased liver cell proliferation labeling index (LI). Transcriptional benchmark dose (BMDT) estimates for dose-related genomic markers stratified phthalates according to hypothetical tumorigenic potencies, unlike BMDs for non-genomic endpoints (relative liver weights or proliferation). The 7-day BMDT values for Acot1 as a surrogate measure for PPARα activation were 29, 370, and 676 mg/kg-d for DEHP, DNOP, and BBP, respectively, distinguishing DEHP (liver tumor BMD of 35 mg/kg-d) from non-tumorigenic DNOP and BBP. Effect thresholds were generated using linear regression of DEHP effects at 7 days and 2-year tumor incidence values to anchor early response molecular indicators and a later phenotypic outcome. Thresholds varied widely by marker, from 2-fold (Pdk4 and proliferation LI) to 30-fold (Acot1) induction to reach hypothetical tumorigenic expression levels. These findings highlight key issues in defining thresholds for biological adversity based on molecular changes.",10.1093/toxsci/kfv236,2016-02-02T02:52:11+00:00,Toxicological Sciences,1,26519955,2016-02-01T00:00:00+00:00,Dose and Effect Thresholds for Early Key Events in a PPARα-Mediated Mode of Action
127,"Core-shell nanoparticles (CSNs) are a class of nanostructured materials that have recently received increased attention owing to their interesting properties and broad range of applications in catalysis, biology, materials chemistry and sensors. By rationally tuning the cores as well as the shells of such materials, a range of core-shell nanoparticles can be produced with tailorable properties that can play important roles in various catalytic processes and offer sustainable solutions to current energy problems. Various synthetic methods for preparing different classes of CSNs, including the Stöber method, solvothermal method, one-pot synthetic method involving surfactants, etc., are briefly mentioned here. The roles of various classes of CSNs are exemplified for both catalytic and electrocatalytic applications, including oxidation, reduction, coupling reactions, etc.",10.1039/c5cs00343a,2015-08-20T10:06:19+00:00,Chemical Society Reviews,1,26288197,2015-08-20T22:00:28+00:00,Core–shell nanoparticles: synthesis and applications in catalysis and electrocatalysis
128,,10.1007/s12311-015-0657-9,2015-02-24T13:56:53+00:00,Cerebellum,1,25700682,2015-02-21T00:00:00+00:00,Neurodevelopmental Malformations of the Cerebellar Vermis in Genetically Engineered Rats
129,"The emphasis of this research project was to develop and optimize a solid-phase extraction method and high-performance liquid chromatography-electrospray ionization-mass spectrometry method, such that a linkage between the detection of endocrine-active pharmaceuticals (EAPs) in the aquatic environment and subsequent effects on fish populations could eventually be studied. Four EAPs were studied: tamoxifen (TAM), exemestane (EXE), letrozole (LET), anastrozole (ANA); and three TAM metabolites: 4-hydroxytamoxifen, e/z endoxifen, and n-desmethyl tamoxifen. In aqueous matrices, the use of isotopically labeled standards for the EAPs allowed for the generation of good recoveries, greater than 80 %, and low relative standard deviations (% RSDs) (3 to 27 %). TAM metabolites had lower recoveries in the spiked water matrices: 35 to 93 % in waste/source water compared to 58 to 110 % in DI water. The precision in DI water was acceptable ranging from 8 to 38 % RSD. However, the precision in real environmental wastewaters could be poor, ranging from 15 to 120 % RSD, dependent upon unique matrix effects. In plasma, the overall recoveries of the EAPs were acceptable: 88 to 110 %, with %RSDs of 6 to 18 % (Table 3). The spiked recoveries of the TAM metabolites from plasma were good, ranging from 77 to 120 %, with %RSDs ranging from 27 to 32 %. Two of the TAM metabolites, 4-hydroxytamoxifen and n-desmethyl tamoxifen, were confirmed in most of the environmental aqueous samples. The discovery of TAM metabolites demonstrates that the source of the TAM metabolites, TAM, is constant, introducing a pseudo-persistence of this chemical into the environment.",10.1007/s00216-015-8813-0,2015-08-05T13:30:44+00:00,Analytical & Bioanalytical Chemistry,1,26077747,2015-06-16T00:00:00+00:00,Developing analytical approaches to explore the connection between endocrine-active pharmaceuticals in water to effects in fish
130,"Wastewater treatment plant (WWTP) effluents are known contributors of chemical mixtures into the environment. Of particular concern are endocrine-disrupting compounds, such as estrogens, that can affect hypothalamic-pituitary-gonadal axis function in exposed organisms. The present study examined reproductive effects in fathead minnows exposed for 21 d to a historically estrogenic WWTP effluent. Fathead minnow breeding pairs were held in control water or one of three effluent concentrations (5%, 20%, and 100%) in a novel on-site, flow-through system providing real-time exposure. Molecular and biochemical endpoints representing key events along adverse outcome pathways linking estrogen receptor activation and other molecular initiating events to reproductive impairment were examined. Additionally, chemical analysis of the effluent was used to construct a chemical-gene interaction network to aid in targeted gene expression analyses and identification of potentially impacted biological pathways. Cumulative fecundity was significantly reduced in fish exposed to 100% effluent but increased in those exposed to 20% effluent, the approximate dilution factor in the receiving waters. Plasma vitellogenin concentrations in males increased in a dose-dependent manner with effluent concentration; however, male fertility was not impacted. Although in vitro analyses, analytical chemistry, and biomarker responses confirmed the effluent was estrogenic, estrogen receptor agonists were unlikely the primary driver of impaired reproduction. The results provide insights into the significance of pathway-based effects with regard to predicting adverse reproductive outcomes. This article is protected by copyright. All rights reserved.",10.1002/etc.3228,2015-09-01T23:50:38+00:00,Environmental Toxicology & Chemistry,2,26332155,2015-09-04T22:01:43+00:00,Pathway‐based approaches for assessment of real‐time exposure to an estrogenic wastewater treatment plant effluent on fathead minnow reproduction
131,,10.18632/oncotarget.4560,,,0,,,
132,"Understanding potential health risks is a significant challenge due to the large numbers of diverse chemicals with poorly characterized exposures and mechanisms of toxicities. The present study analyzes 976 chemicals (including failed pharmaceuticals, alternative plasticizers, food additives, and pesticides) in Phases I and II of the U.S. EPA's ToxCast project across 331 cell-free enzymatic and ligand-binding high-throughput screening (HTS) assays. Half-maximal activity concentrations (AC50) were identified for 729 chemicals in 256 assays (7,135 chemical-assay pairs). Some of the most commonly affected assays were CYPs (CYP2C9 and CYP2C19), transporters (mitochondrial TSPO, norepinephrine, and dopaminergic), and GPCRs (aminergic). Heavy metals, surfactants, and dithiocarbamate fungicides showed promiscuous but distinctly different patterns of activity, whereas many of the pharmaceutical compounds showed promiscuous activity across GPCRs. Literature analysis confirmed >50% of the activities for the most potent chemical-assay pairs (54) but also revealed 10 missed interactions. Twenty-two chemicals with known estrogenic activity were correctly identified for the majority (77%), missing only the weaker interactions. In many cases, novel findings for previously unreported chemical-target combinations clustered with known chemical-target interactions. Results from this large inventory of chemical-biological interactions can inform read-across methods as well as link potential targets to molecular initiating events in adverse outcome pathways for diverse toxicities.",10.1021/tx400021f,2013-06-14T21:11:31+00:00,Chemical Research in Toxicology,1,23611293,2013-04-26T00:00:00+00:00,Profiling 976 ToxCast Chemicals across 331 Enzymatic and Receptor Signaling Assays
133,"Many structural and functional aspects of the vertebrate hypothalamic-pituitary-gonadal (HPG) axis are known to be highly conserved, but the significance of this from a toxicological perspective has received comparatively little attention. High-quality data generated through development and validation of Tier 1 tests for the U.S. Environmenal Protection Agency Endocrine Disruptor Screening Program (EDSP) offer a unique opportunity to compare responses of mammals versus fish to chemicals that may affect shared pathways within the HPG axis. The present study focuses on data generated with model chemicals that act (primarily) as estrogen receptor agonists (17α-ethynylestradiol, methoxychlor, bisphenol A), androgen receptor agonists (methyltestosterone, 17β-trenbolone), androgen receptor antagonists (flutamide, vincolozolin, p,p'-DDE), or inhibitors of different steroidogenic enzymes (ketoconazole, fadrozole, fenarimol, prochloraz). All 12 chemicals had been tested in the EDSP fish short-term (21 d) reproduction assay and in one or more of the four in vivo Tier 1 screens with rats (uterotrophic, Hershberger, male and female pubertal assays). There was a high concordance between the fish and rat assays with respect to identifying chemicals that impacted specific endocrine pathways of concern. Although most chemicals were detected as positive in both rat and fish assays, eliminating data from one class of vertebrate or the other would weaken the battery. For example, the effects of competitive inhibitors of steroid hormone synthesis were far more obvious in the fish assay, whereas the activity of androgen receptor antagonists was clearer in mammalian assays. The observations are significant both to the cross-species extrapolation of toxicity of HPG-active substances and the optimization of screening and testing frameworks for endocrine-disrupting chemicals.",10.1002/etc.2151,2013-02-07T22:17:58+00:00,Environmental Toxicology & Chemistry,1,23401061,2013-01-01T00:00:00+00:00,Crossâspecies conservation of endocrine pathways: A critical analysis of tier 1 fish and rat screening assays with 12 model chemicals
134,"Immunochemistry is an important clinical tool for indicating biological pathways leading towards disease. Standard enzyme-linked immunosorbent assays (ELISA) are labor intensive and lack sensitivity at low-level concentrations. Here we report on emerging technology implementing fully-automated ELISA capable of molecular level detection and describe application to exhaled breath condensate (EBC) samples. The Quanterix SIMOA HD-1 analyzer was evaluated for analytical performance for inflammatory cytokines (IL-6, TNF-α, IL-1β and IL-8). The system was challenged with human EBC representing the most dilute and analytically difficult of the biological media. Calibrations from synthetic samples and spiked EBC showed excellent linearity at trace levels (r (2)  >  0.99). Sensitivities varied by analyte, but were robust from ~0.006 (IL-6) to ~0.01 (TNF-α) pg ml(-1). All analytes demonstrated response suppression when diluted with deionized water and so assay buffer diluent was found to be a better choice. Analytical runs required ~45 min setup time for loading samples, reagents, calibrants, etc., after which the instrument performs without further intervention for up to 288 separate samples. Currently, available kits are limited to single-plex analyses and so sample volumes require adjustments. Sample dilutions should be made with assay diluent to avoid response suppression. Automation performs seamlessly and data are automatically analyzed and reported in spreadsheet format. The internal 5-parameter logistic (pl) calibration model should be supplemented with a linear regression spline at the very lowest analyte levels, (<1.3 pg ml(-1)). The implementation of the automated Quanterix platform was successfully demonstrated using EBC, which poses the greatest challenge to ELISA due to limited sample volumes and low protein levels.",10.1088/1752-7155/9/4/047108,2015-12-11T19:05:04+00:00,Journal of Breath Research,5,26658359,2015-12-01T00:00:00+00:00,Immunochemistry for high-throughput screening of human exhaled breath condensate (EBC) media: implementation of automated quanterix SIMOA instrumentation
135,,10.1504/ijbt.2015.074796,2016-02-24T06:11:17+00:00,International Journal of BioTechnology,0,,2015-01-01T00:00:00+00:00,Developing toxicogenomics as a research tool by applying benchmark dose-response modelling to inform chemical mode of action and tumorigenic potency
136,"We present a novel multi-pathway, mass balance based, fate and exposure model compatible with life cycle and high-throughput screening assessments of chemicals in cosmetic products. The exposures through product use as well as post-use emissions and environmental media were quantified based on the chemical mass originally applied via a product, multiplied by the product intake fractions (PiF, the fraction of a chemical in a product that is taken in by exposed persons) to yield intake rates. The average PiFs for the evaluated chemicals in shampoo ranged from 3×10(-4) up to 0.3 for rapidly absorbed ingredients. Average intake rates ranged between nano- and micrograms per kilogram bodyweight per day; the order of chemical prioritization was strongly affected by the ingredient concentration in shampoo. Dermal intake and inhalation (for 20% of the evaluated chemicals) during use dominated exposure, while the skin permeation coefficient dominated the estimated uncertainties. The fraction of chemical taken in by a shampoo user often exceeded, by orders of magnitude, the aggregated fraction taken in by the population through post-use environmental emissions. Chemicals with relatively high octanol-water partitioning and/or volatility, and low molecular weight tended to have higher use stage exposure. Chemicals with low intakes during use (<1%) and subsequent high post-use emissions, however, may yield comparable intake for a member of the general population. The presented PiF based framework offers a novel and critical advancement for life cycle assessments and high-throughput exposure screening of chemicals in cosmetic products demonstrating the importance of consistent consideration of near- and far-field multi-pathway exposures.",10.1016/j.envint.2016.03.014,2016-04-08T11:21:06+00:00,Environment International,2,27062422,2016-04-12T22:01:51+00:00,Multi-pathway exposure modeling of chemicals in cosmetics with application to shampoo 
137,,10.1039/c4gc02088j,2015-02-09T16:54:57+00:00,Green Chemistry,4,,,A green chemistry-based classification model for the synthesis of silver nanoparticles
138,"Trout provide a relatively easy source of hepatocytes that can be cryopreserved and used for a range of applications including toxicity testing and determination of intrinsic clearance. Standard protocols for isolating, cryopreserving, and thawing rainbow trout hepatocytes are described, along with procedures for using fresh or cryopreserved hepatocytes to assess metabolic stability of xenobiotics in fish by means of a substrate depletion approach. Variations on these methods, troubleshooting tips, and directions for use of extrapolation factors to express results in terms of in vivo intrinsic clearance are included. These protocols have been developed for rainbow trout, but can be adapted to other fish species with appropriate considerations. © 2015 by John Wiley & Sons, Inc.",10.1002/0471140856.tx0442s65,2015-10-28T14:03:09+00:00,Current protocols in toxicology,1,26250400,,Determination of Metabolic Stability Using Cryopreserved Hepatocytes from Rainbow Trout (Oncorhynchus mykiss).
139,,10.1016/j.envpol.2013.01.029,2016-04-15T10:00:33+00:00,Environmental Pollution,0,23434771,2013-05-14T23:00:00+00:00,Transformation of four silver/silver chloride nanoparticles during anaerobic treatment of wastewater and post-processing of sewage sludge
140,"Firefighters wear fireproof clothing and self-contained breathing apparatus (SCBA) during rescue and fire suppression activities to protect against acute effects from heat and toxic chemicals. Fire services are also concerned about long-term health outcomes from chemical exposures over a working lifetime, in particular about low-level exposures that might serve as initiating events for adverse outcome pathways (AOP) leading to cancer. As part of a larger US National Institute for Occupational Safety and Health (NIOSH) study of dermal exposure protection from safety gear used by the City of Chicago firefighters, we collected pre- and post-fire fighting breath samples and analyzed for single-ring and polycyclic aromatic hydrocarbons as bioindicators of occupational exposure to gas-phase toxicants. Under the assumption that SCBA protects completely against inhalation exposures, any changes in the exhaled profile of combustion products were attributed to dermal exposures from gas and particle penetration through the protective clothing. Two separate rounds of firefighting activity were performed each with 15 firefighters per round. Exhaled breath samples were collected onto adsorbent tubes and analyzed with gas-chromatography-mass spectrometry (GC-MS) with a targeted approach using selective ion monitoring. We found that single ring aromatics and some PAHs were statistically elevated in post-firefighting samples of some individuals, suggesting that fire protective gear may allow for dermal exposures to airborne contaminants. However, in comparison to a previous occupational study of Air Force maintenance personnel where similar compounds were measured, these exposures are much lower suggesting that firefighters' gear is very effective. This study suggests that exhaled breath sampling and analysis for specific targeted compounds is a suitable method for assessing systemic dermal exposure in a simple and non-invasive manner.",10.1088/1752-7155/8/3/037107,2014-09-06T17:07:02+00:00,Journal of Breath Research,3,25190461,2014-09-01T00:00:00+00:00,Exploratory breath analyses for assessing toxic dermal exposures of firefighters during suppression of structural burns
141,"The synthesis, stability, and toxicity of engineered metal nanoparticles (ENPs) have been extensively studied during the past two decades. In contrast, research on the formation, fate, and ecological effects of naturally-occurring nanoparticles (NNPs) has become a focus of attention only recently. The natural existence of metal nanoparticles and their oxides/sulfides in waters, wastewaters, ore deposits, mining regions, and hydrothermal vents, as exemplified by the formation of nanoparticles containing silver and gold (AgNPs and AuNPs), Fe, Mn, pyrite (FeS2), Ag2S, CuS, CdS, and ZnS, is dictated largely by environmental conditions (temperature, pH, oxic/anoxic, light, and concentration and characteristics of natural organic matter (NOM)). Examples include the formation of nanoparticles containing pyrite, Cu and Zn-containing pyrite, and iron in hydrothermal vent black smoker emissions. Metal sulfide nanoparticles can be formed directly from their precursor ions or indirectly by sulfide ion-assisted transformation of the corresponding metal oxides under anaerobic conditions. This tutorial focuses on the formation mechanisms, fate, and toxicity of natural metal nanoparticles. Natural waters containing Ag(i) and Au(iii) ions in the presence of NOM generate AgNPs and AuNPs under thermal, non-thermal, and photochemical conditions. These processes are significantly accelerated by existing redox species of iron (Fe(ii)/Fe(iii)). NOM, metal-NOM complexes, and reactive oxygen species (ROS) such as O2˙(-), ˙OH, and H2O2 are largely responsible for the natural occurrence of nanoparticles. AgNPs and AuNPs emanating from Ag(i)/Au(iii)-NOM reactions are stable for several months, thus indicating their potential to be transported over long distances from their point of origin. However, endogenous cations present in natural waters can destabilize the nanoparticles, with divalent cations (e.g., Ca(2+), Mg(2+)) being more influential than their monovalent equivalents (e.g., Na(+), K(+)). The toxicity of NNPs may differ from that of ENPs because of differences in the coatings on the nanoparticle surfaces. An example of this phenomenon is presented and is briefly discussed.",10.1039/c5cs00236b,2015-10-26T17:04:32+00:00,Chemical Society Reviews,1,26435358,2015-10-05T00:00:00+00:00,"Natural inorganic nanoparticles – formation, fate, and toxicity in the environment"
142,"As polybrominated diphenyl ethers are phased out, numerous compounds are emerging as potential replacement flame retardants for use in consumer and electronic products. Little is known, however, about the neurobehavioral toxicity of these replacements. This study evaluated the neurobehavioral effects of acute or developmental exposure to t-butylphenyl diphenyl phosphate (BPDP), 2-ethylhexyl diphenyl phosphate (EHDP), isodecyl diphenyl phosphate (IDDP), isopropylated phenyl phosphate (IPP), tricresyl phosphate (TMPP; also abbreviated TCP), triphenyl phosphate (TPHP; also abbreviated TPP), tetrabromobisphenol A (TBBPA), tris (2-chloroethyl) phosphate (TCEP), tris (1,3-dichloroisopropyl) phosphate (TDCIPP; also abbreviated TDCPP), tri-o-cresyl phosphate (TOCP), and 2,2-,4,4'-tetrabromodiphenyl ether (BDE-47) in zebrafish (Danio rerio) larvae. Larvae (n≈24 per dose per compound) were exposed to test compounds (0.4 - 120 μM) at sub-teratogenic concentrations either developmentally or acutely, and locomotor activity was assessed at 6 days post fertilization. When given developmentally, all chemicals except BPDP, IDDP and TBBPA produced behavioral effects. When given acutely, all chemicals produced behavioral effects, with TPHP, TBBPA, EHDP, IPP, and BPDP eliciting the most effects at the most concentrations. The results indicate that these replacement flame retardants may have developmental or pharmacological effects on the vertebrate nervous system.",10.1016/j.ntt.2015.08.010,2015-09-09T13:09:06+00:00,Neurotoxicology & Teratology,1,26348672,2015-09-09T22:00:16+00:00,Acute and Developmental Behavioral Effects of Flame Retardants and Related Chemicals in Zebrafish.
143,"Risk assessment and subsequent risk management of environmental contaminants can benefit from early collaboration among researchers, risk assessors, and risk managers. The benefits of collaboration in research planning are particularly evident in light of (1) increasing calls to expand upon the risk assessment paradigm to include a greater focus on problem formulation and consideration of potential tradeoffs between risk management options, and (2) decreasing research budgets. Strategically connecting research planning to future decision making may be most critical in areas of emerging science for which data are often insufficient to clearly direct targeted research to support future risk assessment and management efforts. This article illustrates an application of the comprehensive environmental assessment approach to inform research planning for future risk assessment and management of one emerging material, multiwalled carbon nanotubes (MWCNTs). High-priority research areas identified for MWCNTs in flame-retardant coatings applied to upholstery textiles included the following: release across the product life cycle; environmental transport, transformation and fate in air, wastewater and sediment; exposure in human occupational and consumer groups; kinetics in the human body; impacts on human health and aquatic populations; and impacts on economic, social, and environmental resources. This article focuses on specific research questions related to human health and how these may connect to future risk assessments and risk management efforts. Such connections will support more effective collaborations across the scientific community and may inform the prioritization of research funding opportunities for emerging materials like MWCNTs.",10.1093/toxsci/kfu117,2014-12-11T18:42:56+00:00,Toxicological Sciences,1,24928890,,Sparking Connections: Toward Better Linkages Between Research and Human Health Policy - An Example with Multiwalled Carbon Nanotubes.
144,"Efficient and accurate adverse outcome pathway (AOP) based high-throughput screening (HTS) methods use a systems biology based approach to computationally model in vitro cellular and molecular data for rapid chemical prioritization; however, not all HTS assays are grounded by relevant in vivo exposure data. The challenge is to develop HTS assays with unambiguous quantitative links between in vitro responses and corresponding in vivo effects, which is complicated by metabolically insufficient systems, in vitro to in vivo (IVIVE) extrapolation, cross-species comparisons, and other inherent issues correlating IVIVE findings. This article introduces the concept of ultrasensitive gas phase probe molecules (PrM) to help bridge the current HTS assay IVIVE gap. The PrM concept assesses metabolic pathways that have already been well defined from intact human or mammalian models. Specifically, the idea is to introduce a gas phase probe molecule into a system, observe normal steady state, add chemicals of interest, and quantitatively measure (from headspace gas) effects on PrM metabolism that can be directly linked back to a well-defined and corresponding in vivo effect. As an example, we developed the pharmacokinetic (PK) parameters and differential equations to estimate methyl-tertiary butyl ether (MTBE) metabolism to tertiary butyl alcohol (TBA) via cytochrome (CYP) 2A6 in the liver from human empirical data. Because MTBE metabolic pathways are well characterized from in vivo data, we can use it as a PrM to explore direct and indirect chemical effects on CYP pathways. The PrM concept could be easily applied to in vitro and alternative models of disease and phenotype, and even test for volatile chemicals while avoiding liquid handling robotics. Furthermore, a PrM can be designed for any chemical with known empirical human exposure data, and used to assess chemicals for which no information exists. Herein, we propose an elegant gas phase probe molecule-based approach to in vitro toxicity testing.",10.1021/acs.chemrestox.5b00024,2015-02-19T11:32:18+00:00,Chemical Research in Toxicology,6,25692543,2015-02-18T00:00:00+00:00,Probe molecules (PrM) approach in adverse outcome pathway (AOP) based high throughput screening (HTS): in vivo discovery for developing in vitro target methods.
145,,10.1016/j.yrtph.2015.03.005,2015-03-18T14:31:17+00:00,Regulatory Toxicology & Pharmacology: RTP,1,,,Evaluation of the ToxRTool’s Ability to Rate the Reliability of Toxicological Data for Human Health Hazard Assessments 
146,"Understanding the potential health risks posed by environmental chemicals is a significant challenge elevated by the large number of diverse chemicals with generally uncharacterized exposures, mechanisms, and toxicities. The ToxCast computational toxicology research program was launched by EPA in 2007 and is part of the federal Tox21 consortium to develop a cost-effective approach for efficiently prioritizing the toxicity testing of thousands of chemicals and the application of this information to assessing human toxicology. ToxCast addresses this problem through an integrated workflow using high-throughput screening (HTS) of chemical libraries across more than 650 in vitro assays including biochemical assays, human cells and cell lines, and alternative models such as mouse embryonic stem cells and zebrafish embryo development. The initial phase of ToxCast profiled a library of 309 environmental chemicals, mostly pesticidal actives having rich in vivo data from guideline studies that include chronic/cancer bioassays in mice and rats, multigenerational reproductive studies in rats, and prenatal developmental toxicity endpoints in rats and rabbits. The first phase of ToxCast was used to build models that aim to determine how well in vivo animal effects can be predicted solely from the in vitro data. Phase I is now complete and both the in vitro data (ToxCast) and anchoring in vivo database (ToxRefDB) have been made available to the public (http://actor.epa.gov/). As Phase II of ToxCast is now underway, the purpose of this chapter is to review progress to date with ToxCast predictive modeling, using specific examples on developmental and reproductive effects in rats and rabbits with lessons learned during Phase I.",10.1007/978-1-62703-131-8_26,2014-11-01T08:43:51+00:00,Methods in molecular biology,0,23138916,,Predictive models and computational toxicology.
